#ID	Avg_fold	Length	Read_GC
k141_43	6.6809	539	0.7010
k141_48	5.9985	664	0.6747
k141_52	4.0867	577	0.6773
k141_76	80.0144	556	0.5487
k141_85	5.0316	885	0.6884
k141_113	5.5342	1168	0.6824
k141_117	5.3022	546	0.6668
k141_118	4.1203	1313	0.6126
k141_125	4.1208	753	0.6524
k141_127	178.8459	1343	0.5161
k141_137	5.1182	1294	0.7095
k141_139	5.2143	1689	0.6911
k141_141	5.2449	1360	0.6624
k141_144	5.7118	1131	0.7212
k141_147	5.4077	1614	0.6787
k141_148	5.9848	988	0.6932
k141_156	3.2744	933	0.7590
k141_159	63.2078	741	0.3990
k141_164	5.8834	1767	0.6759
k141_167	4.1851	1151	0.7124
k141_170	6.1789	682	0.6709
k141_171	6.0005	1997	0.7060
k141_172	4.5184	2091	0.6435
k141_180	310.0367	1199	0.3495
k141_182	76.4612	2292	0.3357
k141_188	3.4643	868	0.6997
k141_192	122.1289	830	0.5315
k141_193	4.7890	2137	0.7304
k141_198	3.4919	862	0.7050
k141_199	4.4083	818	0.6553
k141_202	4.1320	947	0.7281
k141_226	5.1971	2313	0.7416
k141_237	171.7912	546	0.3846
k141_244	390.5909	2672	0.5323
k141_245	137.0957	1683	0.4925
k141_247	18.1854	1521	0.6521
k141_253	7.3501	2399	0.6836
k141_264	6.9783	2023	0.6437
k141_266	5.4469	2486	0.6989
k141_272	5.4036	1058	0.7423
k141_274	4.9504	3327	0.6736
k141_282	6.8425	2965	0.6735
k141_284	83.3280	1625	0.4775
k141_285	54.2037	874	0.5092
k141_291	253.8256	1720	0.3713
k141_298	7.1177	2183	0.7220
k141_302	5.8125	3680	0.6912
k141_311	7.3962	3985	0.6750
k141_316	8.2610	2211	0.7056
k141_319	99.6927	576	0.4582
k141_322	4.5868	1181	0.6475
k141_325	7.7906	3052	0.7264
k141_327	6.1137	3193	0.7224
k141_336	5.9556	2678	0.7495
k141_337	5.0141	4683	0.6859
k141_338	118.4504	1079	0.3279
k141_340	93.2122	1037	0.5473
k141_344	713.7633	735	0.3869
k141_345	4.6166	1304	0.7030
