#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
k141_4 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.3654	1	0.06
k141_6 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.3555	1	0.06
k141_7 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.3123	1	0.06
k141_8 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.3621	1	0.06
k141_9 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.6213	1	0.06
k141_10 flag=1 multi=1.0000 len=313	0.9617	313	0.0000	96.1661	301	1	0	0.5615	1	0.20
k141_11 flag=0 multi=433.5424 len=259	5.3320	259	0.0000	100.0000	259	4	2	0.4009	6	1.32
k141_12 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.6844	1	0.06
k141_14 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.4319	1	0.06
k141_15 flag=1 multi=64.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.3455	1	0.06
k141_16 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.5482	1	0.06
k141_17 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.7641	1	0.06
k141_18 flag=0 multi=103.0000 len=288	48.0729	288	0.0000	100.0000	288	27	26	0.4124	53	7.65
k141_19 flag=1 multi=1.0000 len=339	2.5959	339	0.0000	89.3805	303	1	2	0.3455	3	0.95
k141_20 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.6379	1	0.06
k141_21 flag=1 multi=3.0000 len=318	0.9465	318	0.0000	94.6541	301	0	1	0.6877	1	0.23
k141_22 flag=1 multi=5.0000 len=311	2.3955	311	0.0000	94.8553	295	1	2	0.7054	3	0.85
k141_23 flag=0 multi=312.4155 len=283	95.7032	283	0.0000	100.0000	283	47	58	0.3608	105	21.80
k141_24 flag=1 multi=1.0000 len=316	0.9525	316	0.0000	95.2532	301	1	0	0.6478	1	0.22
k141_25 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.7276	1	0.06
k141_26 flag=1 multi=1.0000 len=301	2.9967	301	0.0000	100.0000	301	0	3	0.3444	3	0.18
k141_27 flag=1 multi=1.0000 len=316	0.0000	316	0.0000	0.0000	0	0	0	0.0000	0	0.00
k141_28 flag=1 multi=1.0000 len=347	0.8674	347	0.0000	86.7435	301	0	1	0.5050	1	0.34
k141_29 flag=1 multi=1.0000 len=330	0.8848	330	0.0000	88.4848	292	1	0	0.7209	1	0.32
k141_30 flag=1 multi=2.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.7110	1	0.06
k141_31 flag=0 multi=155.5286 len=351	62.1510	351	0.0000	100.0000	351	29	52	0.5473	68	20.21
k141_32 flag=0 multi=5.0000 len=461	4.2430	461	0.0000	100.0000	461	3	4	0.7375	5	2.22
k141_33 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.5415	1	0.06
k141_34 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.4917	1	0.06
k141_35 flag=1 multi=1.0000 len=300	1.0000	300	0.0000	100.0000	300	0	1	0.5349	1	0.06
k141_36 flag=1 multi=1.0000 len=301	9.8571	301	0.0000	100.0000	301	2	8	0.3648	10	0.89
k141_37 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.6578	1	0.06
k141_38 flag=0 multi=3.4437 len=283	6.5336	283	0.0000	100.0000	283	3	4	0.7015	7	0.96
k141_39 flag=1 multi=1.0000 len=317	0.9495	317	0.0000	94.9527	301	0	1	0.6512	1	0.22
k141_40 flag=1 multi=1.0000 len=332	0.0000	332	0.0000	0.0000	0	0	0	0.0000	0	0.00
k141_41 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.6412	1	0.06
k141_42 flag=0 multi=5.0000 len=320	0.0000	320	0.0000	0.0000	0	0	0	0.0000	0	0.00
k141_43 flag=0 multi=9.5804 len=539	6.6809	539	0.0000	100.0000	539	10	2	0.7010	6	3.83
k141_44 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.6080	1	0.06
k141_45 flag=0 multi=1.0000 len=328	0.9177	328	0.0000	91.7683	301	1	0	0.7209	1	0.28
k141_46 flag=1 multi=1.0000 len=323	0.0000	323	0.0000	0.0000	0	0	0	0.0000	0	0.00
