contigName	contigLen	totalAvgDepth	aln.sorted.bam	aln.sorted.bam-var
k141_113 flag=0 multi=6.0000 len=1168	1168	5.76228	5.76228	4.51176
k141_118 flag=1 multi=4.0000 len=1313	1313	4.18745	4.18745	4.14899
k141_127 flag=0 multi=154.0000 len=1343	1343	174.502	174.502	526.478
k141_137 flag=1 multi=5.0000 len=1294	1294	5.35227	5.35227	3.13827
k141_139 flag=0 multi=6.0000 len=1689	1689	5.18129	5.18129	5.39038
k141_141 flag=0 multi=7.0000 len=1360	1360	5.36529	5.36529	3.69607
k141_144 flag=0 multi=5.0101 len=1131	1131	6.12742	6.12742	1.19089
k141_147 flag=1 multi=4.0000 len=1614	1614	5.28552	5.28552	7.42216
k141_164 flag=1 multi=5.0000 len=1767	1767	5.59493	5.59493	5.89217
k141_167 flag=1 multi=4.0059 len=1151	1151	4.54446	4.54446	6.39628
k141_171 flag=0 multi=6.0000 len=1997	1997	5.73958	5.73958	10.3779
k141_172 flag=0 multi=4.0113 len=2091	2091	4.09067	4.09067	2.81445
k141_180 flag=0 multi=271.1125 len=1199	1199	302.463	302.463	1808.05
k141_182 flag=0 multi=88.3129 len=2292	2292	71.9921	71.9921	111.232
k141_193 flag=1 multi=4.0000 len=2137	2137	4.80976	4.80976	4.29711
k141_208 flag=0 multi=3.2960 len=1016	1016	2.54965	2.54965	1.72989
k141_226 flag=1 multi=5.9038 len=2313	2313	5.23625	5.23625	3.68561
k141_244 flag=0 multi=311.7234 len=2672	2672	364.172	364.172	1805.85
k141_245 flag=0 multi=116.0000 len=1683	1683	127.232	127.232	411.976
k141_247 flag=0 multi=15.0000 len=1521	1521	17.326	17.326	26.3747
k141_253 flag=0 multi=5.0000 len=2399	2399	6.94753	6.94753	4.20811
k141_264 flag=0 multi=5.5399 len=2023	2023	6.20982	6.20982	7.28879
k141_266 flag=1 multi=5.0000 len=2486	2486	5.4101	5.4101	5.27667
k141_272 flag=0 multi=5.0000 len=1058	1058	5.41189	5.41189	4.34832
k141_274 flag=0 multi=4.0000 len=3327	3327	4.87126	4.87126	2.70667
k141_282 flag=0 multi=6.0312 len=2965	2965	6.37123	6.37123	4.42897
k141_284 flag=0 multi=70.2298 len=1625	1625	74.3675	74.3675	127.737
k141_291 flag=0 multi=258.0000 len=1720	1720	241.659	241.659	1025.81
k141_298 flag=1 multi=6.0000 len=2183	2183	6.72848	6.72848	3.32489
k141_302 flag=1 multi=7.0000 len=3680	3680	5.64108	5.64108	7.73652
k141_311 flag=1 multi=6.0000 len=3985	3985	6.51995	6.51995	6.79328
k141_316 flag=0 multi=7.0000 len=2211	2211	8.53566	8.53566	9.69742
k141_322 flag=1 multi=5.3615 len=1181	1181	4.81668	4.81668	12.8529
k141_325 flag=1 multi=6.0000 len=3052	3052	7.14507	7.14507	6.19987
k141_327 flag=1 multi=5.0000 len=3193	3193	5.89123	5.89123	6.18178
k141_336 flag=1 multi=5.0000 len=2678	2678	5.66891	5.66891	3.85516
k141_337 flag=1 multi=5.9573 len=4683	4683	4.63975	4.63975	7.14939
k141_338 flag=0 multi=106.0000 len=1079	1079	116.103	116.103	229.274
k141_340 flag=0 multi=85.0000 len=1037	1037	91.2604	91.2604	298.188
k141_345 flag=1 multi=4.0000 len=1304	1304	4.46014	4.46014	2.61463
k141_354 flag=1 multi=4.0000 len=1499	1499	3.92809	3.92809	1.81899
k141_355 flag=0 multi=60.1794 len=3017	3017	63.4426	63.4426	98.9305
k141_356 flag=0 multi=6.0000 len=3794	3794	6.25302	6.25302	6.18415
k141_364 flag=0 multi=74.6750 len=1338	1338	60.9419	60.9419	107.979
k141_367 flag=0 multi=162.0000 len=3050	3050	191.369	191.369	590.552
k141_369 flag=0 multi=6.5848 len=5126	5126	3.98332	3.98332	4.00235
k141_371 flag=0 multi=4.0405 len=2709	2709	4.23134	4.23134	6.17396
k141_375 flag=0 multi=4.0000 len=3132	3132	5.01174	5.01174	4.82802
k141_382 flag=1 multi=4.8063 len=5540	5540	5.77866	5.77866	5.89727
k141_385 flag=0 multi=6.0000 len=1586	1586	6.90599	6.90599	2.64687
k141_402 flag=0 multi=6.9955 len=2825	2825	7.68262	7.68262	10.5329
k141_403 flag=1 multi=5.0000 len=5313	5313	5.38757	5.38757	8.19359
k141_404 flag=1 multi=4.9759 len=6398	6398	6.19926	6.19926	4.80103
k141_405 flag=1 multi=5.0000 len=5586	5586	5.94831	5.94831	5.46482
k141_406 flag=0 multi=8.0000 len=6140	6140	6.75309	6.75309	4.64614
k141_407 flag=1 multi=7.0000 len=4362	4362	8.28561	8.28561	6.01506
k141_410 flag=0 multi=6.0000 len=2691	2691	6.06179	6.06179	7.46986
k141_412 flag=0 multi=5.0000 len=2216	2216	5.94337	5.94337	4.90375
k141_414 flag=0 multi=66.6659 len=4457	4457	66.6912	66.6912	80.7589
k141_418 flag=0 multi=57.2201 len=4180	4180	62.0923	62.0923	89.6013
k141_421 flag=0 multi=5.0000 len=1413	1413	5.66033	5.66033	10.6825
k141_431 flag=1 multi=5.0000 len=3040	3040	4.40173	4.40173	2.30764
k141_432 flag=1 multi=5.0000 len=1911	1911	5.03918	5.03918	3.99902
k141_435 flag=0 multi=5.0000 len=4653	4653	5.38197	5.38197	7.01135
k141_438 flag=0 multi=5.3801 len=2938	2938	5.29986	5.29986	5.1529
k141_439 flag=1 multi=5.0000 len=7092	7092	5.79343	5.79343	4.60302
k141_440 flag=1 multi=5.0000 len=5735	5735	6.05461	6.05461	5.51016
k141_441 flag=0 multi=5.0000 len=3165	3165	6.16285	6.16285	6.74083
k141_442 flag=1 multi=3.0000 len=1390	1390	3.46048	3.46048	1.84025
k141_443 flag=0 multi=5.2495 len=6373	6373	5.43323	5.43323	4.64442
k141_444 flag=1 multi=4.6471 len=2099	2099	5.31042	5.31042	8.60321
k141_445 flag=0 multi=5.2481 len=8109	8109	6.34376	6.34376	5.96273
k141_446 flag=1 multi=4.0000 len=1757	1757	4.50467	4.50467	1.7993
k141_449 flag=0 multi=4.9041 len=1059	1059	4.48735	4.48735	2.02544
k141_452 flag=1 multi=4.0472 len=4061	4061	5.89593	5.89593	2.51571
k141_453 flag=0 multi=6.4247 len=8217	8217	7.86265	7.86265	8.13947
k141_454 flag=1 multi=4.0000 len=1322	1322	3.68601	3.68601	3.01149
k141_458 flag=1 multi=3.0000 len=1513	1513	2.98019	2.98019	1.80505
k141_460 flag=1 multi=9.0000 len=1131	1131	6.2314	6.2314	6.576
k141_462 flag=1 multi=6.0000 len=8584	8584	7.12841	7.12841	6.00705
k141_472 flag=1 multi=5.1569 len=7738	7738	6.1082	6.1082	4.84286
k141_473 flag=1 multi=4.0000 len=1717	1717	4.26803	4.26803	1.96644
k141_474 flag=0 multi=112.5190 len=3503	3503	111.062	111.062	355.53
k141_477 flag=0 multi=5.0000 len=2533	2533	5.04532	5.04532	4.80065
k141_478 flag=0 multi=56.8035 len=6575	6575	59.8875	59.8875	94.4748
k141_481 flag=1 multi=6.0000 len=3915	3915	6.65153	6.65153	5.64478
k141_484 flag=1 multi=6.0000 len=2314	2314	5.76248	5.76248	3.2196
k141_486 flag=1 multi=6.0000 len=6699	6699	6.88945	6.88945	5.34417
k141_492 flag=0 multi=263.0000 len=1719	1719	252.418	252.418	1223.4
k141_494 flag=1 multi=5.0000 len=7681	7681	6.29385	6.29385	4.92044
k141_496 flag=1 multi=5.0000 len=2526	2526	5.30471	5.30471	3.56015
k141_498 flag=1 multi=5.0000 len=3889	3889	6.32255	6.32255	6.85961
k141_500 flag=0 multi=6.0000 len=3749	3749	5.88608	5.88608	3.60904
k141_507 flag=1 multi=6.0000 len=6058	6058	7.16622	7.16622	8.07474
k141_515 flag=1 multi=4.6161 len=2519	2519	6.1317	6.1317	6.17269
k141_520 flag=1 multi=6.6309 len=8588	8588	6.81927	6.81927	7.02974
k141_522 flag=0 multi=6.0375 len=9212	9212	6.02119	6.02119	6.22431
k141_524 flag=0 multi=5.6761 len=5682	5682	7.20409	7.20409	14.2784
